Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
357,22,Woman,"Asian,White",Married,"Unpaid Academic Appointment (eg, adjunct, affiliate)",,Yes,1,Director of Neurodiagnostics,0,,0,,,,0,,,6,"Institutional,Regional",,Strongly Agree (6),Strongly Agree (6),Agree (5),Disagree (3),Agree (5),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,I do more,Often,Unable to schedule/attend events at kids' school or interrupted when on call or have to work late.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per month,A few times per month,Never,Every day,A few times per year,Never,A few times per week
358,24,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,4,3,2,"NIH grants,Foundational grants",,"900,000 (K grant)",1,Institutional,,1,Institutional,,Strongly Agree (6),Strongly Agree (6),Agree (5),Agree (5),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,Share equally,Other caregiver,Other caregiver,Always,,Yes,,Always feel rushed,4 Very burned out,A few times per week,Once per week,Every day,Every day,Once per month or less,Once per week,A few times per week,Never,A few times per year
359,11,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Division Chief ,3,0,5,"Not-for-profit organizational grants,Industry trials,Other: {sourceetc}",private patient donation,$50K,3,"Institutional,Local,Regional",,10,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),Share equally,Share equally,I do more,Partner does more,Share equally,Sometimes,"I have to do a significant amount of computer work (prepare presentations, sign notes, answer messages) at home after normal work hours. ",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per month,Never,A few times per month,A few times per month,A few times per year,A few times per week,A few times per year,Never,A few times per year
360,16,Woman,White,Single,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Director of Quality Improvement ,1,2,0,,,,0,,,0,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Often,"Depending on the week, I work long hours, weekend hours, night hours, or holiday hours. It affects my ability to see my family as I would in a ""normal"" job. On the weeks that I'm on inpatient service, I can't run errands (e.g. get to the grocery store) or keep up with housework as easily.",Yes,,Almost never feel rushed,3 Moderately burned out,Every day,Never,A few times per month,Once per month or less,A few times per week,Every day,A few times per month,A few times per year,A few times per year
361,16,Woman,Asian,Single,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,3,2,0,,,,0,,,1,Institutional,,Disagree (3),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Often,,No,Survey fatigue,,,,,,,,,,,
362,16,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,1,Institutional,,0,,,Disagree (3),Agree (5),Agree (5),Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Partner does more,Does not apply,Partner does more,Partner does more,Partner does more,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,A few times per month,Once per month or less,Once per week,Once per month or less,A few times per week,Once per month or less,Never,A few times per week
363,11,Prefer not to answer,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2, director ,6,4,1,"Not-for-profit organizational grants,Foundational grants,Medical societies",,17000,9,"Institutional,Local,Regional,National,International",,10,"Institutional,Regional,National,International",,Very Strongly Disagree (1),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),,,,,,Never,,Yes,,Sometimes feel rushed,5 Completely burned out,Every day,Never,Every day,Every day,Never,Every day,Never,Never,Once per month or less
364,23,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2,2,0,,,,2,"Institutional,National",,7,Regional,,Strongly Disagree (2),Disagree (3),Strongly Disagree (2),Agree (5),Neither Agree or Disagree (4),Very Strongly Disagree (1),,,,,,Sometimes,Being on call especially after hours,Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per month,A few times per month,Once per month or less,A few times per month,A few times per week,A few times per month,A few times per year,A few times per year
365,11,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Director of deep brain stimulation program,1,7,13,"NIH grants,Industry trials",,"361,000",1,Institutional,,14,"Local,Regional,National",,Disagree (3),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Share equally,Sometimes,,No,Survey fatigue,,,,,,,,,,,
366,8,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2,0,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,,No,Survey fatigue,,,,,,,,,,,
367,8,Woman,White,Long-term committed relationship,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,8,4,22,Other: {sourceetc},dod,3million,0,,,3,International,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,
368,26,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,Program director,1,1,1,Industry trials,,,5,Institutional,,2,Regional,,Very Strongly Disagree (1),Very Strongly Agree (7),Very Strongly Disagree (1),Strongly Disagree (2),Very Strongly Disagree (1),Strongly Agree (6),,,,,,Sometimes,Calls at all hours ,Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,A few times per week,A few times per week,A few times per year,Every day,A few times per week,A few times per year,A few times per week
369,22,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,5%,3,3,0,,,,0,,,5,"Regional,National",,Agree (5),Strongly Agree (6),Strongly Agree (6),Agree (5),Strongly Disagree (2),Agree (5),,,,,,Sometimes,"schedule limitations, high call burden, stress and burnout",Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Once per week,A few times per week,Every day,Once per week,Once per week,A few times per week,A few times per week,A few times per month
370,22,Woman,White,Married,Academic Track - Teaching,,Yes,5,teaching role,1,1,2,Not-for-profit organizational grants,,,12,"Institutional,Local,Regional,National",,67,"Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Disagree (3),,,,,,Often,,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per week,A few times per week,A few times per year,Every day,A few times per week,Never,Once per week
371,22,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,5,10,15,"Industry trials,Other: {sourceetc}",Investigator initiated trial,2.6million,0,,,35,"Institutional,Local,Regional,National,International",,Agree (5),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,I do more,Share equally,I do more,Sometimes,Calls on nights weekends. Lack of satisfaction gets taken home and makes spouse grumpy,Yes,,Always feel rushed,3 Moderately burned out,Every day,Once per month or less,A few times per month,Once per week,Once per month or less,Every day,A few times per month,Once per month or less,Every day
372,22,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,1,0,,,,0,,,3,"Institutional,Local",,Agree (5),Agree (5),Agree (5),Agree (5),Strongly Disagree (2),Disagree (3),I do more,I do more,I do more,I do more,Share equally,Sometimes,I'm tired or already maxed on stress some days and don't always feel like I have the energy or focus left to enjoy my kids or partner ,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,A few times per year,A few times per month,Once per week,A few times per year,A few times per month,A few times per month,A few times per year,A few times per month
373,22,Woman,White,Married,Clinician Track (clinical appointment with no academic appointment),,Yes,1,Medical director of satellite clinic/hospital,2,0,0,,,,0,,,8,"Institutional,Local,Regional,International",,Strongly Agree (6),Agree (5),Agree (5),Agree (5),Disagree (3),Strongly Disagree (2),Partner does more,Partner does more,I do more,I do more,I do more,Sometimes,Children feel abandoned when I have to go in to see patients when I am on-call or I can't take a weekend trip or some holidays with them,No,Survey fatigue,,,,,,,,,,,
374,26,Woman,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,22,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Associate Vice Chair Clinical Research,2,3,26,"NIH grants,Institutional grants,Not-for-profit organizational grants,Industry trials",,,0,,,28,"Institutional,Local,Regional,National,International",,Very Strongly Agree (7),Very Strongly Agree (7),Neither Agree or Disagree (4),Strongly Agree (6),Neither Agree or Disagree (4),Neither Agree or Disagree (4),I do more,I do more,I do more,I do more,Share equally,Often,stress  and time demands causes strains the relationship with family,No,Survey fatigue,,,,,,,,,,,
376,22,Man,Asian,Single,Academic Track - Teaching,,Yes,1,Neurology clerkship director,0,,0,,,,0,,,1,Institutional,,Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Very Strongly Agree (7),,,,,,Often,Less time at home to spend with my partner and family and to pursue hobbies. ,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Never,A few times per month,A few times per month,Never,Every day,Once per month or less,Never,Every day
377,8,Man,"White,Hispanic/Latino",Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,7,3,,,,,3,Institutional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,16,Man,Asian,Single,Academic Track - Research,,No,,,2,1,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,16,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Director MS center,3,3,30,Industry trials,,500000,5,Institutional,,10,"Institutional,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Share equally,Other caregiver,Other caregiver,Share equally,Share equally,Never,,No,Survey fatigue,,,,,,,,,,,
380,8,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,No,,,1,2,1,Institutional grants,,10000,3,Institutional,,2,National,,Agree (5),Agree (5),Neither Agree or Disagree (4),Disagree (3),Agree (5),Agree (5),Share equally,Partner does more,Share equally,Partner does more,Partner does more,Often,Less time to play with children  Grant applications coincide with children school vacations each year,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,A few times per month,A few times per week,Once per week,A few times per month,Once per week,Once per week,A few times per year,A few times per week
381,16,Woman,"Asian,White",Married,Academic Track - Teaching,,Yes,5,Vice Chair of Clinical Operations,3,1,0,,,,2,Institutional,,1,Regional,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),,,,,,Often,It is difficult to complete all work tasks within the week and this often bleeds over into evening and weekend work responsibilities.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per week,Once per week,A few times per year,Every day,Once per month or less,Never,Once per week
382,19,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,1/2 less clinic day per week ,3,1,5,"NIH grants,Not-for-profit organizational grants,Foundational grants",,120000,3,Institutional,,0,,,Agree (5),Agree (5),Agree (5),Disagree (3),Agree (5),Disagree (3),Share equally,Partner does more,Share equally,I do more,I do more,Often,"Often miss or am late for children's activities after school, have divided day so one of us is present in morning before school and other after school but rarely home together. ",Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per week,A few times per week,Never,Every day,Once per month or less,Never,Every day
383,19,Man,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,N/a,0,,0,,,,0,,,6,Regional,,Disagree (3),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),Disagree (3),Other caregiver,Other caregiver,Other caregiver,Other caregiver,Share equally,Sometimes,Many weekends are occupied with work,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per month,A few times per month,Once per week,A few times per year,A few times per week,Once per month or less,Never,A few times per week
384,19,Woman,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,1,Institutional,,5,"Institutional,Local,Regional",,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Agree (5),I do more,I do more,Share equally,I do more,I do more,Sometimes,"interruptions to family time when on call, need to stay late at work missing kids' activities or ability to provide transportation, difficulty arranging schedule to participate in things at school (chaperoning field trips) because notice for these things is often less than required notice to block clinic",Yes,,Always feel rushed,4 Very burned out,A few times per week,Once per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per month
385,19,Man,White,Married,Tenure Track,,Yes,2,2,10,40,10,"NIH grants,Institutional grants,Foundational grants,Industry trials",,8 million ,0,,,15,"Institutional,Local,Regional,National",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Share equally,Partner does more,Partner does more,Partner does more,I do more,Sometimes,,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Every day,Once per week,A few times per week,A few times per week,Once per week,A few times per year,Once per week
386,19,Woman,"Asian,White",Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,9,"Institutional,Local,Regional",,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Agree (5),Agree (5),Disagree (3),I do more,I do more,I do more,I do more,I do more,Often,"call schedule and duties preclude outings, social activities",Yes,,Always feel rushed,3 Moderately burned out,A few times per week,A few times per year,Once per week,Once per week,A few times per year,A few times per month,Once per week,A few times per year,Once per month or less
387,19,Man,Prefer not to say,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,5,Residency Program Director,1,2,3,"NIH grants,Institutional grants",,5%,4,"Institutional,Regional",,75,Regional,,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),Partner does more,Share equally,Share equally,Partner does more,Share equally,Sometimes,,No,Survey fatigue,,,,,,,,,,,
388,19,Woman,Hispanic/Latino,Married,Academic Track - Research,,Yes,1,Salary,0,,0,,,,0,,,2,Institutional,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Agree (5),,,,,,Never,,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,Never,A few times per year,Never,A few times per week,Never,Never,A few times per week
389,22,Woman,Prefer not to say,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,6,Program Director ,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,19,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,Stroke Center Medical Director ,3,4,4,"NIH grants,Institutional grants,Not-for-profit organizational grants,Industry trials",,35000,2,"Institutional,National",,7,"Institutional,Local,Regional,National",,Very Strongly Agree (7),Strongly Agree (6),Strongly Agree (6),Agree (5),Strongly Disagree (2),Agree (5),I do more,I do more,I do more,I do more,I do more,Sometimes,Limits weekend and evening time.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per year,Once per month or less,A few times per year,Every day,Once per month or less,Once per month or less,A few times per week
391,,Woman,Black or African American,Single,Tenure Track,,No,,,2,2,1,Institutional grants,,"62,500",1,Institutional,,0,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Never,,Yes,,Sometimes feel rushed,1 Not at all burned out,A few times per week,Never,A few times per year,A few times per year,Never,Every day,A few times per year,Never,A few times per week
392,19,Woman,White,Married,Tenure Track,,Yes,2,Division chief,4,9,18,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,,2130000,National,,92,"Institutional,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,Needing to schedule family activities around my work schedule,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,A few times per year,A few times per year,Never,A few times per month,Never,Never,Never
393,19,Woman,White,Separated,Tenure Track,,Yes,1,department chair,5,12,60,"NIH grants,Foundational grants,Industry trials",,"150,000",5,"Institutional,Local,Regional",,40,National,,Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Sometimes,,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,A few times per year,A few times per year,Never,Never,Every day,A few times per year,A few times per year,Every day
394,22,Man,Prefer not to say,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,1,3,2,25,"NIH grants,Institutional grants,Industry trials",,"2,000,000",0,,,20,National,,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Neither Agree or Disagree (4),,,,,,Rarely,,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,Never,Never,Never,A few times per month,A few times per year,Never,Every day
395,19,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,1,1,2,2,8,"NIH grants,Not-for-profit organizational grants,Industry trials",,"$60,000 ",1,Institutional,,8,"Regional,National,International",,Neither Agree or Disagree (4),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Disagree (3),,,,,,Sometimes,"my children are grown now, but it is hard to visit because of my work schedule.",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,Once per month or less,Never,Once per week,Once per month or less,A few times per year,A few times per month
396,24,Woman,Hispanic/Latino,Single,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Fellowship director,0.3,0,0,,,,0,,,2,"Local,National",,Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),,,,,,Often,,Yes,,Sometimes feel rushed,2 Slightly burned out,Once per week,A few times per month,A few times per week,Once per week,A few times per month,A few times per month,Once per week,A few times per year,Once per month or less
397,19,Woman,White,Domestic partnership,Other: {trackmisc},"Academic Track with both clinical and research responsibilities; non-tenure but ""up or out""",No,,,1,3,4,"NIH grants,Foundational grants",,"1,900,000",1,Regional,,10,"Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),Agree (5),,,,,,Always,"I usually have enough work that I work 7 days per week. I work extra after my SO goes to bed. When I take time out of clinic, I usually try to catch up on research activities during those days. We have not taken a vacation/staycation for a long time.",Yes,,Sometimes feel rushed,4 Very burned out,A few times per week,A few times per year,Every day,Every day,A few times per month,Once per week,A few times per week,A few times per year,A few times per year
398,19,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,Yes,2,no incentivized leadership positions,2,3,0,,,,0,,,5,"Institutional,Local,Regional",,N/A,Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Agree (5),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,weekends and evenings on call,Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per week,A few times per week,Once per week,Once per month or less,Every day,Never,Never,A few times per week
399,19,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Clinic director,0,,0,,,,0,,,4,"Institutional,Regional",,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Disagree (3),Other caregiver,Other caregiver,I do more,I do more,I do more,Often,"Work never ends always stressed with inbasket, less time with friends and family",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per month,Every day,Every day,Once per week,Every day,Every day,A few times per year,Every day
400,16,Woman,White,Married,Academic Track - Teaching,,Yes,5,not sure,10,80,8,"NIH grants,Foundational grants,Industry trials",,,4,"Institutional,Regional",,75,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Never,,No,Survey fatigue,,,,,,,,,,,
401,23,Woman,"Asian,White,Hispanic/Latino",Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,1,0,,,,0,,,1,Institutional,,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Agree (5),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Often,,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,A few times per month,A few times per month,A few times per month,A few times per week,A few times per month,Never,Once per week
402,23,Man,Not reported,Single,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,0,0,,,,0,,,2,Institutional,,N/A,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),,,,,,Never,,No,Prefer to not answer,,,,,,,,,,,
403,16,Man,White,Married,Academic Track - Teaching,,Yes,1,0,4,2,0,,,,2,"Institutional,National",,15,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Agree (5),Disagree (3),Neither Agree or Disagree (4),Share equally,Share equally,I do more,Partner does more,Share equally,Always,,Yes,,Always feel rushed,5 Completely burned out,Every day,Never,Every day,Every day,Once per week,Every day,A few times per month,Never,A few times per month
404,23,Woman,White,Domestic partnership,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,1,0,,,,3,Institutional,,5,Institutional,,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Disagree (3),,,,,,Sometimes,Call hours  Decrease vacation time,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Never,Once per week,A few times per week,Never,A few times per week,A few times per week,Never,A few times per week
405,20,Woman,White,Married,"Academic Track - Teaching,Non-Tenure",,Yes,3,"Associate Chair, Residency Program Director",2,0,12,"Foundational grants,Industry trials",,Don't know,13,"Institutional,National",,15,"Institutional,Regional,National",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Often,"Working 60-70 hours/week on week-ends, 12 hour days etc.",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per year,A few times per week,A few times per week,Never,Every day,Never,Never,Once per week
406,20,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Partner does more,Does not apply,Partner does more,Partner does more,Partner does more,Sometimes,Weekend calls and hospital calls interfere with family time  ,Yes,,Almost never feel rushed,1 Not at all burned out,Every day,Never,Never,Never,Never,Every day,Never,Never,Never
407,20,Man,"White,Hispanic/Latino",Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,10,"Monetary, less clinic time",1,20,15,"NIH grants,Industry trials",,"500,000",8,"Institutional,National",,30,"Institutional,Local,Regional,National,International",,Disagree (3),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),Share equally,Share equally,Share equally,Share equally,Share equally,Rarely,After hours work related events may interfere in my personal life,Yes,,Almost never feel rushed,1 Not at all burned out,Every day,Never,Never,Never,Never,Every day,Never,Never,Every day
408,23,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2,1,0,,,,2,Institutional,,2,"Institutional,Local",,Disagree (3),Disagree (3),Disagree (3),Very Strongly Disagree (1),Strongly Disagree (2),Strongly Disagree (2),Partner does more,Does not apply,Partner does more,Share equally,I do more,Sometimes,Getting pages or calls during leisure time or events ,Yes,,Sometimes feel rushed,1 Not at all burned out,A few times per week,A few times per week,Once per week,Once per week,A few times per month,A few times per week,Once per week,Once per week,A few times per week
409,19,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Fellowship Director,0,,4,"NIH grants,Industry trials",,0,0,,,12,"Institutional,Local,Regional",,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),Strongly Agree (6),Very Strongly Disagree (1),Share equally,Share equally,I do more,I do more,Share equally,Sometimes,Just in terms of hours and availability. ,Yes,,Always feel rushed,2 Slightly burned out,Every day,Never,Once per week,A few times per week,Never,Every day,Once per week,Never,Once per week
410,26,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,No,,,1,2,1,Industry trials,,"$110,000 ",1,Institutional,,1,Institutional,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Agree (5),Agree (5),Very Strongly Disagree (1),,,,,,Sometimes,"When on EEG call on the weekend, which I do a lot of, I have to look at STAT EEGs often.",Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Once per month or less,A few times per month,A few times per month,A few times per year,A few times per week,Once per month or less,Never,A few times per week
411,19,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Stroke Director,0,,0,,,,0,,,15,"Institutional,Local,Regional",,Agree (5),Strongly Agree (6),Agree (5),Agree (5),Strongly Agree (6),Neither Agree or Disagree (4),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Sometimes,It has been very difficult over the past several years (even pre-covid) to feel committed to the demands of work and my leadership position because of the time needed for family/home.,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Never,A few times per week,A few times per week,A few times per year,Once per month or less,Once per week,Never,A few times per year
